Nome do Hotel;Preço;Nota;Número de avaliações
Apartamento em Balneário Camboriú;R$3.846;Novo;0
Condomínio em Centro;R$3.476;5,0;21
Loft em Balneário Camboriú;R$6.052;4,89;36
Casa em Itapema;R$1.141;Novo;0
Loft em Centro;R$5.010;4,98;84
Apartamento em Balneário Camboriú;R$4.622;Novo;0
Apartamento em Itajaí;R$4.222;4,82;11
Apartamento em Balneário Camboriú;R$5.829;Novo;0
Apartamento em Balneário Camboriú;R$6.162;Novo;0
Apartamento em Balneário Camboriú;R$5.928;5,0;3
Quarto em Balneário Camboriú;R$4.279;Novo;0
Apartamento em Balneário Camboriú;R$5.260;4,5;241
Apartamento em Balneário Camboriú;R$5.934;4,96;25
Apartamento em Balneário Camboriú;R$6.124;4,74;144
Apartamento em Balneário Camboriú;R$4.581;4,89;9
Quarto em Centro;R$3.555;4,98;53
Apartamento em Balneário Camboriú;R$5.341;4,95;19
Apartamento em Balneário Camboriú;R$5.877;4,88;16
Apartamento em Balneário Camboriú;R$5.186;4,64;42
Quarto em Balneário Camboriú, Praia do Estaleiro;R$5.592;5,0;166
Apartamento em Balneário Camboriú;R$11.554;4,95;76
Quarto em Balneário Camboriú;R$4.793;5,0;112
Suíte de hóspedes em Centro;R$4.616;5,0;33
Apartamento em Balneário Camboriú;R$10.852;4,94;36
