Nome do Hotel;Preço;Nota;Número de avaliações
Loft em Copacabana;R$4.585;4,88;134
Apartamento em Rio de Janeiro;R$3.994;5,0;11
Apartamento em Rio de Janeiro;R$5.364;4,78;45
Apartamento em Copacabana;R$4.952;4,52;21
Apartamento em Rio de Janeiro;R$3.887;Novo;0
Apartamento em Rio de Janeiro;R$3.081;Novo;0
Apartamento em Copacabana;R$5.890;4,73;52
Apartamento em Rio de Janeiro;R$4.868;4,93;15
Apartamento em Rio de Janeiro;R$5.620;4,88;60
Apartamento em Rio de Janeiro;R$995;Novo;0
Apartamento em Rio de Janeiro;R$5.329;4,8;15
Apartamento em Copacabana;R$3.663;4,8;61
Apartamento em Rio de Janeiro;R$3.690;Novo;0
Apartamento em Copacabana;R$4.986;4,92;50
Apartamento em Rio de Janeiro;R$3.481;4,75;8
Apartamento em Rio de Janeiro;R$3.556;4,81;26
Apartamento em Rio de Janeiro;R$4.045;Novo;0
Apartamento em Rio de Janeiro;R$3.994;Novo;0
Apartamento em Copacabana;R$5.018;4,9;58
Apartamento em Copacabana;R$4.316;4,84;50
Apartamento em Rio de Janeiro;R$4.154;5,0;5
Quarto em Rio de Janeiro;R$4.465;4,95;480
Apartamento em Rio de Janeiro;R$3.899;4,93;41
Apartamento em Rio de Janeiro;R$4.793;4,85;27
