Nome do Hotel;Preço;Nota;Número de avaliações
Apartamento em Gramado;R$2.589;4,5;8
Apartamento em Gramado;R$2.739;Novo;0
Quarto em Gramado;R$1.426;4,95;60
Suíte de hóspedes em Bairro Lago Negro;R$1.620;4,92;13
Condomínio em Centro;R$2.396;4,75;106
Apartamento em Gramado;R$2.676;4,92;108
Casa em Gramado;R$1.552;Novo;0
Apartamento em Gramado;R$3.851;Novo;0
Apartamento em Gramado;R$2.853;4,83;107
Apartamento em Gramado;R$2.511;5,0;9
Apartamento em Gramado;R$3.606;Novo;0
Apartamento em Gramado;R$1.735;4,81;36
Hotel em Gramado;R$5.135;4,77;26
Apartamento em Vila Suica;R$3.389;4,62;21
Apartamento em Gramado;R$3.846;5,0;7
Apartamento em Gramado;R$2.967;4,84;45
