Nome do Hotel;Preço;Nota;Quarto;Número de avaliações
Pousada Maresias de Geribá;R$ 5.950;8,4;Suíte;87 avaliações
Costa do Sol Boutique Hotel;R$ 11.772;8,3;Suíte Standard com Vista do Jardim;416 avaliações
HTL PERSONALIZADA BUZIOS;R$ 3.200;8,3;Quarto Duplo;223 avaliações
Bardot Apartamentos;R$ 5.400;8,2;Quarto Duplo;270 avaliações
Pousada Preciosa;R$ 10.000;8,3;Suíte Superior;81 avaliações
La Pedrera Small Hotel & Spa;R$ 10.331;9,1;Quarto Standard;745 avaliações
Hotel Miratlantico Búzios;R$ 6.669;8,5;Suíte com Vista do Jardim;1.856 avaliações
Rio Búzios Beach Hotel;R$ 7.283;9,0;Quarto Duplo Standard com Varanda e Vista do Jardim;497 avaliações
Riviera Búzios Hotel;R$ 9.139;8,9;Suíte Superior;1.033 avaliações
Hotel Pousada Casacolina;R$ 8.000;8,2;Quarto Triplo Standard;468 avaliações
SOL;R$ 4.685;8,8;Apartamento Superior;76 avaliações
Villa Santa Fé;R$ 5.664;8,8;Quarto com Varanda.;454 avaliações
Lavínia loft 2;R$ 3.375;9,2;Loft;21 avaliações
Pousada Terra do Mar;R$ 7.100;9,3;Suíte;38 avaliações
Bamboo Búzios Hostel;R$ 7.968;9,0;Quarto com 2 Camas de Solteiro e Banheiro;1.551 avaliações
Camping & Hostel Bandeiras;R$ 650;8,5;Tenda;44 avaliações
Pousada Marittima;R$ 6.599;8,2;Quarto Triplo Standard;474 avaliações
Pousada Blanca Mar;R$ 7.821;8,9;Quarto Duplo Deluxe;574 avaliações
Sabatico Beach House;R$ 7.500;9,1;Quarto Duplo Deluxe;72 avaliações
POUSADA ELOHIM DE BUZIOS;R$ 4.025;10;Quarto Duplo Standard;1 avaliação
Búzios Flats & Suítes da MARI;R$ 3.200;8,6;Quarto com Cama King-size;51 avaliações
Hotel Pousada Brava Club;R$ 12.764;8,2;Suíte Standard com Vista do Jardim;389 avaliações
Pousada Aguas Claras;R$ 7.775;9,4;Quarto Duplo Clássico;773 avaliações
Top de Buzios Boutique Hotel & Spa;R$ 9.975;9,4;Quarto Duplo Deluxe com Vista do Mar;239 avaliações
Hotel Doce Mar;R$ 6.089;9,0;Quarto Duplo;340 avaliações
