Nome do Hotel;Preço;Nota;Quarto;Número de avaliações
Hotel Atlântico Copacabana;R$ 7.430;6,7;Quarto Standard com 2 Camas de Solteiro;9.982 avaliações
Hotel Astoria Copacabana;R$ 12.138;8,0;Suíte de 1 Quarto;8.515 avaliações
Hotel Atlântico Travel Copacabana;R$ 8.972;7,4;Quarto Duplo Deluxe;12.926 avaliações
Hotel Bandeirantes;R$ 7.117;7,9;Quarto Standard com 2 Camas de Solteiro;6.430 avaliações
Maroca Copacabana;R$ 5.846;8,7;Quarto Triplo Básico com Banheiro Compartilhado;115 avaliações
ibis Copacabana Posto 2;R$ 6.607;8,3;Apartamento Standard com 2 Camas de Solteiro;1.940 avaliações
Copacabana Blue Hotel;R$ 6.507;7,4;Quarto Standard com 2 Camas de Solteiro e Banheiro Compartilhado;1.453 avaliações
Hotel Astoria Palace;R$ 13.780;8,3;Quarto Standard com 2 Camas de Solteiro;8.555 avaliações
Windsor Copa Hotel;R$ 9.109;8,8;Quarto Duplo Standard - Sem Vista;1.970 avaliações
Windsor Martinique Copacabana;R$ 10.210;8,6;Quarto Duplo Superior;2.301 avaliações
Orla Copacabana Hotel;R$ 13.235;8,5;Quarto Duplo Standard;3.920 avaliações
Pestana Rio Atlantica;R$ 14.663;8,0;Apartamento Standard;3.418 avaliações
Rio Design Copacabana Hotel;R$ 10.219;8,0;Quarto Deluxe com 2 Camas de Solteiro;4.018 avaliações
Windsor Excelsior Copacabana;R$ 17.707;8,5;Quarto Duplo Superior;2.949 avaliações
Augusto's Copacabana Hotel;R$ 8.081;7,8;Quarto Duplo Standard;2.301 avaliações
Augusto's Rio Copa Hotel;R$ 7.728;7,8;Quarto Duplo Standard;2.538 avaliações
Windsor Plaza Copacabana;R$ 10.168;7,9;Quarto Duplo Superior com Cama de Casal;2.518 avaliações
Premier Copacabana Hotel;R$ 7.249;8,0;Quarto Duplo Standard;2.381 avaliações
Rio Othon Palace;R$ 14.133;7,8;Quarto Superior Lateral Mar;10.759 avaliações
Hotel Copamar;R$ 6.451;7,9;Quarto Duplo Básico;976 avaliações
ibis Copacabana Posto 5;R$ 6.267;7,9;Quarto Duplo Standard - Acesso para Hóspedes com Mobilidade Reduzida;2.723 avaliações
Copa Sul Hotel;R$ 9.675;8,3;Quarto Duplo Standard;1.461 avaliações
Hotel Canada;R$ 8.608;8,1;Quarto Duplo com Cama de Casal;922 avaliações
Américas Benidorm Hotel;R$ 8.381;8,4;Quarto Duplo Standard;4.436 avaliações
Savoy Othon;R$ 8.463;7,5;Quarto Superior;4.199 avaliações
