Nome do Hotel;Preço;Nota
Windsor Martinique Hotel;R$ 1384;Hotel 3 estrelas
Windsor Copa Hotel;R$ 1372;Hotel 3 estrelas
Olinda Rio Hotel;R$ 1311;Hotel 4 estrelas
Hotel Biarritz;R$ 919;Hotel 2 estrelas
Windsor Excelsior Copacabana;R$ 2373;Hotel 4 estrelas
Windsor Plaza Hotel;R$ 1516;Hotel 4 estrelas
Augusto's Rio Copa Hotel;R$ 917;Hotel 4 estrelas
Hotel Mar Palace Copacabana;R$ 1151;Hotel 3 estrelas
Augusto's Copacabana Hotel;R$ 924;Hotel 3 estrelas
Hotel Nacional Inn Copacabana;R$ 2062;Hotel 3 estrelas
Mercure Rio Boutique Hotel Copacabana;R$ 3072;Hotel 4 estrelas
JW Marriott Hotel Rio de Janeiro;R$ 1074;Hotel 4 estrelas
Majestic Rio Palace Hotel;R$ 1798;Hotel 3 estrelas
Grand Mercure Rio de Janeiro Copacabana;R$ 1650;Hotel 4 estrelas
Windsor Palace Hotel;R$ 2069;Hotel 4 estrelas
Orla Copacabana Hotel;R$ 1923;Hotel 4 estrelas
Pestana Rio Atlântica Hotel;R$ 1283;Hotel 4 estrelas
Royal Rio Palace Hotel;R$ 1242;Hotel 4 estrelas
